default		00:00:11.480	11.48	00:00:13.100	13.1	00:00:01.620	1.62	n
default		00:00:22.700	22.7	00:00:30.110	30.11	00:00:07.410	7.41	n
default		00:00:41.310	41.31	00:00:42.580	42.58	00:00:01.270	1.27	n
default		00:01:08.000	68.0	00:01:09.280	69.28	00:00:01.280	1.28	n
default		00:01:30.400	90.4	00:01:36.710	96.71	00:00:06.310	6.31	d
default		00:01:47.040	107.04	00:01:47.960	107.96	00:00:00.920	0.92	d
default		00:02:00.380	120.38	00:02:04.120	124.12	00:00:03.740	3.74	dd
default		00:02:06.060	126.06	00:02:08.440	128.44	00:00:02.380	2.38	d
default		00:02:15.570	135.57	00:02:20.700	140.7	00:00:05.130	5.13	dd
default		00:02:24.580	144.58	00:02:30.590	150.59	00:00:06.010	6.01	dd
